id,nombre_organizacion,,126
76,Ángeles EC,,87
74,bioFeeder,,47
102,Zona Especial de Desarrollo Económico,,114
126,Yakunina,,288
328,YAKUNINA,,25
66,Workshop Coworking,,337
10,Working Up,,283
259,Web Ratio,,95
30,WWF,,266
271,Uribe & Schwarzkopf,,13
6,Urbamapp,,14
37,Universidad San Fransisco de Quito,,
87,Universidad San Francisco de Quito,,
47,Universidad Politécnica Salesiana del Ecuador,,
217,Universidad Politécnica Salesiana,,
71,Universidad Metropolitana,,
96,Universidad Laica Vicente Rocafuerte,,
322,Universidad Estatal de Bolívar,,
114,Universidad Católica de Santiago de Guayaquil,,
56,Univarsidad Católica de Santiago de Guayaquil,,
299,UTOPÍA Organización Comunitaria,,
314,UNACEM Ecuador,,
136,Transforme,,
16,Torno Co. Lab,,
139,TopManage,,
50,Tinku Lab,,
15,ThoughtWorks,,
62,Stratega BDS (Business Development Services,,
19,Startups & Ventures,,
70,StartUp Grind Guayaquil,,
175,St. Santino,,
292,Sociedad Industrial Ganadera El Ordeño S.A.,,
318,Semillero de Emprendimiento e Innovación – Universidad Politécnica Estatal del Carchi,,
98,Semgroup,,
121,Secretaría de Movilidad,,
81,Secretaría de Juventudes,,
35,"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación",,
130,Sais 3D,,
215,STRATEGA,,
27,SAMBITO,,
52,Red ecuatoriana de datos abiertos y metadatos,,
125,Red de guardianes de semillas,,
193,"Red de Investigación de Conocimiento, Hardware y Software Libre",,
186,Red Nacional DUS,,
214,Red Ecuatoriana de Cooperación Internacional y Desarrollo,,
286,ReciVeci,,
288,Quinto Pilar Sociedad de Divulgación de Ciencia y Tecnología,,
131,Quinto Pilar,,
211,QUID Ecuador,,
293,Programa de las Naciones Unidas para el Desarrollo Ecuador,,
209,Prendho,,
145,Porcesos IQ,,
61,Plataforma Coworking,,
22,Patronato Municipal San José,,
67,Panal Coworking,,
252,Pan American Development Foundation - Ecuador,,
257,PROTOS,,
132,PLAY Business School,,
220,Organización Red de Mujeres por la Economía Violeta,,
60,One Nest,,
208,Observatorio del Cambio Rural,,
173,ORPHEUS,,
26,Nexos para la Competitividad y Sociedad,,
146,NUO,,
219,NIUBOX Legal-Digital,,
190,"NEO - Ciencia, Tecnología, Sostenibilidad",,
1,NANAY,,
8,Muyu,,
287,Municipio de Ibarra,,
65,Mujeres Innovadoras,,
226,Movimiento de Economía Social ySolidaria del Ecuador,,
25,"Ministerio de Producción, Comercio Exterior, Inversiones y Pesca - MPCEIP",,
235,"Ministerio de Producción, Comercio Exterior, Inversiones y Pesca",,
21,Ministerio de Agricultura y Ganadería,,
72,Mi Semilla,,
182,MasterMind,,
264,Marca Patito,,
163,Maquita,,
221,MBA3,,
127,Lunas Ecológicas,,
172,Lockers Ecuador S.A.,,
24,Link mobile,,
120,Libera tu libro,,
290,Laboratorios Bagó Ecuador - Pacto Global Ecuador,,
33,Laboratorio de Innovación Quito LINQ,,
184,Laboratorio de Ideas Tungurahua,,
53,"Laboratorio de Ciencia, Tecnología y Sociedad",,
335,Laboratorio Urbano de Latacunga,,
337,Laboratorio Urbano Latacunga,,
75,Lab XXI,,
12,La Cámara de Comercio de Quito,,
325,La Agencia de la ONU para los Refugiados Ecuador,,
284,LABoratorio De Sueños,,
7,Kruger Labs,,
205,KRADAC,,
111,Invernadero,,
128,Instituto de la Ciudad,,
122,Instituto de Estudios Ecuatorianos,,
90,Instituto Nacional de Biodiversidad,,
142,Innova 3D,,
153,InnovAgro Ecuador,,
79,Impaqto,,
150,Image Tech,,
339,Ikiam,,
162,Idukay,,
9,INNOVAcenter,,
97,INNOBIS,,
167,Humana Pueblo a Pueblo,,
161,Hosh,,
265,Holberton School Ecuador,,
18,Handytec,,
282,HIAS Global,,
151,Guayaquil Emprende!,,
312,Grupo faro,,
152,Grupo Novatech,,
247,Gobierno Provincial de Tungurahua,,
321,Gobierno Autónomo Descentralizado del Cantón Guaranda,,
327,Gobierno Autónomo Descentralizado Municipal de Tulcán,,
279,Gobierno Autónomo Descentralizado Municipal de San Miguel de Ibarra,,
315,Gobierno Autónomo Descentralizado Municipal de Riobamba,,
112,Go Plataforma,,
179,Girls in Tech Ecuador,,
174,Geos Organic,,
57,GUAYAQUILIN,,
5,GAD PORTOVIEJO,,
4,GAD CARCHI,,
308,Fundación para la Erradicación del Maltrato Infantil,,
240,Fundación para el desarrollo empresarial y social,,
181,Fundación de Ayuda por Internet,,
294,Fundación Tierra para Todos,,
283,Fundación Telefónica Movistar,,
29,Fundación Telefónica,,
170,Fundación Sin Barreras,,
248,Fundación Pachamama,,
313,Fundación Natividad de los Andes,,
310,Fundación Mashcana,,
166,Fundación La iguana,,
232,Fundación KIRU,,
80,Fundación Junior Achievement,,
330,Fundación Imaymana,,
199,Fundación Heifer Ecuador,,
48,Fundación Futuro Latinoamericano,,
281,Fundación Fe y Alegría,,
91,Fundación Esquel,,
40,Fundación Edúcate,,
278,Fundación Educativa y Cultural ViSocial,,
254,Fundación Educativa Rada,,
280,Fundación Ecuatoriana de Desarrollo Social,,
169,Fundación Ecuador,,
297,Fundación ESQUEL,,
54,Fundación Ciudadana y Desarrollo,,
275,Fundación Circular,,
268,Fundación Cecilia Rivadeneira,,
28,Fundación CRISFE,,
231,Fundación Alas de Colibrí,,
229,Fondo de Innovación Ecuador,,
124,Fondo Ambiental para la Protección del Agua,,
55,Facultad Latinoamericana de Ciencias Sociales Sede Ecuador,,
36,FabLab ZOI,,
159,FabLab Quito,,
168,FUVIDA,,
3,FUNDAPI,,
295,FUNDACIÓN NUKARI,,
92,Escuela Superior Politécnica del Litoral (ESPOL),,
95,Escuela Superior Politécnica del Litoral,,
83,Escuela Politécnica Nacional,,
291,Empresa Pública UPEC Creativa,,
58,Empresa Pública Municipal para la Gestión de la Innovación y Competitividad,,
143,Empresa Pública Municipal de Turismo de Guayaquil,,
158,El parto es nuestro,,
157,Ecuarunari,,
148,Ecuaprotesis 3D,,
176,Easyfix,,
187,EMPRENDEC,,
129,EGM ROBOTICS,,
17,ECX Labs,,
117,E-Consulting 360,,
140,Domo Soluciones Web & TI,,
263,Dialogos Vitales,,
233,Dialogo Diverso,,
89,Deloitte,,
192,DINERS CLUB + IMPAQTO,,
2,DATALAT,,
23,Cámara de Innovación y Tecnología Ecuatorianaf,,
73,Cámara de Comercio de Guayaquil,,
204,Cámara de Comercio Ecuatoriano Americana,,
134,Cuestionarix,,
156,Credipy,,
149,Crece Ecuador,,
11,Coworking Cohesion Group,,
138,Cowork OBC,,
45,Corporación para el Desarrollo del Emprendimiento y la Innovación Social,,
104,"Corporación de ciencia, tecnología e innovación del Ecuador",,
194,Corporación de Ferias de Loja,,
234,Corporación de Emprendimiento e Innovación Productiva Latinoamericana,,
227,Corporación de Desarrollo de Ambato y Tungurahua,,
31,Corporación Nacional de Telecomunicaciones,,
123,Corporación Nacional de Finanzas Populares y Solidarias,,
253,Corporación Líderes para Gobernar,,
105,Corporación Financiera Nacional,,
88,Cooperativa de Ahorro y Crédito Cooprogreso Ltda.,,
236,"Consultora Económica en Gestión, Estudios y Planificación",,
160,Consejo de pueblos y organizaciones indígenas evangélicas del Ecuador,,
20,ConQuito,,
135,Comité empresarial ecuatoriano,,
298,Colectivo Central Dogma,,
113,Coinnovar,,
109,Co-Madres,,
216,Clun Realidad Virtual UTPL,,
155,Centro de derechos económicos y sociales,,
196,Centro de Investigaciones de Políticas Públicas y Territorio,,
68,Centro de Innovación Rokk3r IDE,,
185,Centro de Innovación Disruptive,,
316,Centro de Formación Artesanal del Municipio de Riobamba,,
225,Centro Tecnológico de Entrenamiento y Capacitación,,
78,Centro Competitividad e Innovación,,
108,Central WorkLab,,
154,Cafetina,,
171,Cafeina,,
198,CREAS Ecuador,,
141,CORPEI,,
137,CISU Creando Innovadores Start- Ups,,
230,CARE -Ecuador,,
266,BuenTrip Hub Final,,
267,BuenTrip Hub,,
13,Buen Trip xxx,,
44,Box Emprendimiento,,
222,Biometrika Cloud Services,,
319,BioIngenio Ecuador,,
144,Binaria IT Services,,
43,Bayteq,,
107,BanEcuador,,
101,Asociación de jóvenes Empresarios del Ecuador,,
178,Asociación de Municipalidades Ecuatorianas,,
218,Asociación de Jóvenes empresarios del Ecuador,,
289,Asociación de Desarrollo Social de Artesanas Texal,,
223,Asociación Ecuatoriana de Software,,
77,AsiriLabs,,
110,AsertivaLab,,
118,Arte Contemporaneo Ecuador,,
119,ArsQvitensis,,
34,Aplios,,
99,Amautha Hub,,
14,Alianza para el Emprendimiento y la Innovación,,
197,Alianza para el Emprendimiento e Innovación,,
41,Al Borde,,
133,Aiko,,
272,AgroScan,,
285,Acción Social Municipal del Gobierno Autónomo Descentralizado del Cantón Guaranda,,
237,Academia de Ciencias del Ecuador,,
210,AGRO-WORKS,,